City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
153,Bukama,CD,-9.2,25.85,81.25,36,69,1.57,2022-10-12 05:40:30
154,Seoul,KR,37.5683,126.9778,69.19,42,0,4.61,2022-10-12 05:38:12
155,Ponta Do Sol,PT,32.6667,-17.1,69.71,81,15,5.55,2022-10-12 05:40:31
156,Jermuk,AM,39.8417,45.6723,52.41,45,3,5.23,2022-10-12 05:40:31
157,Muros,ES,42.7762,-9.0603,58.84,89,38,7.49,2022-10-12 05:40:32
158,Kailua,US,21.4022,-157.7394,78.78,81,75,3.44,2022-10-12 05:40:33
159,Sembe,CG,1.6481,14.5806,70.56,99,97,0.83,2022-10-12 05:40:34
160,Lagos,NG,6.5833,3.75,77.32,95,80,3.22,2022-10-12 05:36:28
161,Arkansas City,US,37.062,-97.0384,69.94,68,0,17.27,2022-10-12 05:40:35
162,Rio Gallegos,AR,-51.6226,-69.2181,39.25,70,0,21.85,2022-10-12 05:40:35
163,Ajra,IN,16.1167,74.2,71.87,94,100,3.36,2022-10-12 05:40:36
164,Sandpoint,US,48.2766,-116.5533,55.72,68,100,3.44,2022-10-12 05:40:36
165,Torbay,CA,47.6666,-52.7314,51.28,83,75,20.71,2022-10-12 05:40:37
166,Okato,NZ,-39.2,173.8833,59.18,94,100,1.01,2022-10-12 05:40:37
167,Road Town,VG,18.4167,-64.6167,80.69,76,0,15.9,2022-10-12 05:40:38
168,Kayerkan,RU,69.3497,87.7602,33.53,100,100,2.37,2022-10-12 05:40:39
169,Narasannapeta,IN,18.4167,84.05,85.64,70,82,4.65,2022-10-12 05:40:39
170,Tabou,CI,4.423,-7.3528,75.76,88,100,4.76,2022-10-12 05:40:40
171,Terra Santa,BR,-2.1042,-56.4869,75.27,75,100,0.87,2022-10-12 05:40:40
172,Kununurra,AU,-15.7667,128.7333,105.78,21,75,9.22,2022-10-12 05:40:41
173,Vila Franca Do Campo,PT,37.7167,-25.4333,70.2,86,10,2.68,2022-10-12 05:40:42
174,Tuatapere,NZ,-46.1333,167.6833,49.62,64,13,5.77,2022-10-12 05:40:42
175,Tahta,EG,26.7693,31.5021,73.8,51,0,11.83,2022-10-12 05:40:43
176,Lang Son,VN,21.8333,106.7333,77.45,38,6,6.02,2022-10-12 05:40:43
177,Smirnykh,RU,49.75,142.8333,43.12,75,100,11.79,2022-10-12 05:40:44
178,Rockingham,US,42.9668,-71.0995,51.66,88,4,3.89,2022-10-12 05:40:45
179,Mbanza-Ngungu,CD,-5.25,14.8667,69.6,91,83,2.91,2022-10-12 05:40:45
180,Gwadar,PK,25.1216,62.3254,85.12,40,0,3.24,2022-10-12 05:40:46
181,Laela,TZ,-8.5667,32.05,68.22,41,93,6.38,2022-10-12 05:40:46
182,Penzance,GB,50.1186,-5.5371,54.28,80,88,12.88,2022-10-12 05:40:47
183,Magole,TZ,-6.3667,37.3667,75.16,49,45,5.23,2022-10-12 05:40:48
184,Hasaki,JP,35.7333,140.8333,71.22,68,100,18.57,2022-10-12 05:40:49
185,Komsomolskiy,UZ,40.4272,71.7189,65.12,36,0,4.61,2022-10-12 05:40:49
186,Vargashi,RU,55.3556,65.8467,54.09,53,100,5.32,2022-10-12 05:41:50
187,Waddan,LY,29.1614,16.139,74.12,28,46,6.6,2022-10-12 05:41:50
188,Isangel,VU,-19.55,169.2667,74.64,85,99,9.55,2022-10-12 05:41:51
189,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,80,100,12.66,2022-10-12 05:41:52
190,Roma,US,43.2128,-75.4557,56.66,87,0,1.01,2022-10-12 05:38:34
191,Faanui,PF,-16.4833,-151.75,78.48,75,16,15.19,2022-10-12 05:41:53
192,Port Augusta,AU,-32.5,137.7667,58.21,85,100,10.71,2022-10-12 05:41:53
193,Pangoa,PE,-12.1167,-73.0,67.62,98,86,3.42,2022-10-12 05:41:54
194,Dwarka,IN,22.2394,68.9678,87.22,51,44,7.43,2022-10-12 05:41:55
195,Lebu,CL,-37.6167,-73.65,51.64,93,96,7.27,2022-10-12 05:41:56
196,Riyadh,SA,24.6877,46.7219,78.94,15,0,6.8,2022-10-12 05:40:02
197,Konevo,RU,62.1215,39.3192,40.32,89,93,5.79,2022-10-12 05:41:57
198,Boden,SE,65.8252,21.6886,41.0,63,26,12.39,2022-10-12 05:41:58
199,Kieta,PG,-6.2167,155.6333,82.6,77,99,3.29,2022-10-12 05:41:58
200,Narsaq,GL,60.9167,-46.05,30.42,71,98,8.97,2022-10-12 05:41:59
201,Port Elizabeth,ZA,-33.918,25.5701,68.09,94,40,4.61,2022-10-12 05:41:21
202,Ancud,CL,-41.8697,-73.8203,47.05,87,87,12.86,2022-10-12 05:42:00
203,Lagoa,PT,39.05,-27.9833,69.57,81,27,4.21,2022-10-12 05:42:00
204,Ludvika,SE,60.1496,15.1878,28.2,81,3,1.43,2022-10-12 05:42:01
205,Ust-Kuyga,RU,70.0167,135.6,7.81,94,7,6.46,2022-10-12 05:42:02
206,Aitape,PG,-3.1374,142.3475,83.03,76,100,4.23,2022-10-12 05:42:03
207,Mayen,DE,50.3333,7.2167,41.99,88,55,1.63,2022-10-12 05:42:04
208,Carpinteria,US,34.3989,-119.5185,67.78,81,91,1.01,2022-10-12 05:42:04
209,Charters Towers,AU,-20.1,146.2667,87.66,32,66,10.69,2022-10-12 05:42:05
210,Hohhot,CN,40.8106,111.6522,59.29,26,0,4.47,2022-10-12 05:42:06
211,Viedma,AR,-40.8135,-62.9967,56.28,45,56,10.6,2022-10-12 05:42:06
