City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
168,Kodiak,US,57.79,-152.4072,38.71,65,0,5.75,clear sky
169,Barcelos,PT,41.5388,-8.6151,61.84,81,16,3.27,few clouds
170,Vanimo,PG,-2.6741,141.3028,81.68,80,100,5.66,overcast clouds
171,Juneau,US,58.3019,-134.4197,52.21,94,100,6.91,overcast clouds
172,Mareeba,AU,-17.0,145.4333,84.43,66,21,10.18,few clouds
173,Kupang,ID,-10.1667,123.5833,90.18,66,75,10.36,broken clouds
174,Sunagawa,JP,43.4864,141.9056,59.25,68,3,6.02,clear sky
175,Bambous Virieux,MU,-20.3428,57.7575,77.25,57,40,13.8,scattered clouds
176,Baker City,US,44.7749,-117.8344,57.18,66,0,3.44,clear sky
177,Nabire,ID,-3.3667,135.4833,84.52,74,60,4.47,broken clouds
178,Mehamn,NO,71.0357,27.8492,42.75,81,0,5.75,clear sky
179,Dikson,RU,73.5069,80.5464,32.23,94,100,14.74,overcast clouds
180,Geraldton,AU,-28.7667,114.6,68.41,40,0,18.41,clear sky
181,Eloy,US,32.7559,-111.5548,72.41,39,0,1.99,clear sky
182,Codrington,AU,-38.2667,141.9667,58.1,92,100,8.81,light rain
183,Marawi,PH,7.9986,124.2928,76.28,86,100,2.57,overcast clouds
184,Leningradskiy,RU,69.3833,178.4167,24.31,73,100,19.01,overcast clouds
185,Jinja,UG,0.439,33.2032,72.91,69,73,0.89,light rain
186,Tuktoyaktuk,CA,69.4541,-133.0374,29.17,75,97,10.58,overcast clouds
187,Santa Cruz Del Sur,CU,20.7147,-77.9956,76.3,91,99,9.55,overcast clouds
188,Abu Kamal,SY,34.4506,40.9171,81.0,23,0,2.33,clear sky
189,La Palma,US,33.8464,-118.0467,70.95,87,0,4.61,clear sky
190,Lavrentiya,RU,65.5833,-171.0,27.54,64,2,6.35,clear sky
191,Tazmalt,DZ,36.3868,4.3989,69.46,67,90,4.41,light rain
192,Qasigiannguit,GL,68.8193,-51.1922,25.05,96,98,2.91,overcast clouds
193,Vaitape,PF,-16.5167,-151.75,78.53,73,1,14.63,clear sky
194,Hambantota,LK,6.1241,81.1185,89.94,66,40,12.66,scattered clouds
195,Ust-Ishim,RU,57.6935,71.1665,46.92,70,88,5.28,overcast clouds
196,Wiarton,CA,44.7407,-81.1332,61.39,63,100,12.66,light rain
197,Kahului,US,20.8947,-156.47,80.62,81,40,10.36,scattered clouds
198,Ciudad Bolivar,VE,8.1222,-63.5497,75.92,89,95,6.24,overcast clouds
199,East London,ZA,-33.0153,27.9116,68.94,83,0,4.61,clear sky
200,South Venice,US,27.0531,-82.4243,77.99,94,100,3.0,overcast clouds
201,Touros,BR,-5.1989,-35.4608,75.72,82,96,13.91,overcast clouds
202,Dodoma,TZ,-6.1722,35.7395,73.08,38,67,10.94,broken clouds
203,Aklavik,CA,68.2191,-135.0107,20.95,92,79,1.28,broken clouds
204,Mount Darwin,ZW,-16.7725,31.5838,77.7,39,0,10.11,clear sky
