Hotel_ID,index,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
30,109,Grand Gaube,MU,77.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
31,110,Belmonte,BR,74.1,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
33,117,Katsuura,JP,71.55,overcast clouds,35.1333,140.3,CAMP GO4SURF
34,127,Fare,PF,78.21,light rain,-16.7,-151.0167,Motel Vanille
35,139,Nortelandia,BR,72.0,overcast clouds,-14.4547,-56.8028,Pousada e Restaurante Santana
36,145,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Apera Beach Front Bungalows
38,157,Cap Malheureux,MU,77.47,clear sky,-19.9842,57.6142,Coin de Mire Attitude Hotel
39,159,Coroata,BR,71.38,clear sky,-4.13,-44.1242,Hotel Carvalho
40,167,Semnan,IR,78.19,clear sky,35.5729,53.3971,White Tower Apartment Hotel.
41,175,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,La Petite Ferme
42,181,Eloy,US,72.41,clear sky,32.7559,-111.5548,Frontier MHC ( formally Eloy Mobile Home Park )
43,183,Marawi,PH,76.28,overcast clouds,7.9986,124.2928,Derogongan Residence
44,185,Jinja,UG,72.91,light rain,0.439,33.2032,2 Friends Guesthouse and Restaurant
46,189,La Palma,US,70.95,clear sky,33.8464,-118.0467,Kat Ocampo
47,193,Vaitape,PF,78.53,clear sky,-16.5167,-151.75,Pension Robert et Tina
48,198,Ciudad Bolivar,VE,75.92,overcast clouds,8.1222,-63.5497,Hotel Edi
49,200,South Venice,US,77.99,overcast clouds,27.0531,-82.4243,Villa Lux Vacation Rentals
50,201,Touros,BR,75.72,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
51,202,Dodoma,TZ,73.08,broken clouds,-6.1722,35.7395,Modern Hotel
54,218,Takoradi,GH,76.57,overcast clouds,4.8845,-1.7554,Raybow International Hotel
